libk5crypto3:arm64	1.20.1-2+deb12u5	arm64	ii 
libkadm5clnt-mit12:arm64	1.20.1-2+deb12u5	arm64	ii 
libkadm5srv-mit12:arm64	1.20.1-2+deb12u5	arm64	ii 
libkdb5-10:arm64	1.20.1-2+deb12u5	arm64	ii 
libkeyutils1:arm64	1.6.3-2	arm64	ii 
libkrb5-3:arm64	1.20.1-2+deb12u5	arm64	ii 
libkrb5-dev:arm64	1.20.1-2+deb12u5	arm64	ii 
libkrb5support0:arm64	1.20.1-2+deb12u5	arm64	ii 
libksba8:arm64	1.6.3-2	arm64	ii 
liblcms2-2:arm64	2.14-2+deb12u1	arm64	ii 
liblcms2-dev:arm64	2.14-2+deb12u1	arm64	ii 
libldap-2.5-0:arm64	2.5.13+dfsg-5	arm64	ii 
liblerc-dev:arm64	4.0.0+ds-2	arm64	ii 
liblerc4:arm64	4.0.0+ds-2	arm64	ii 
liblqr-1-0:arm64	0.4.2-2.1	arm64	ii 
liblqr-1-0-dev:arm64	0.4.2-2.1	arm64	ii 
liblsan0:arm64	12.2.0-14+deb12u1	arm64	ii 
libltdl-dev:arm64	2.4.7-7~deb12u1	arm64	ii 
libltdl7:arm64	2.4.7-7~deb12u1	arm64	ii 
liblz4-1:arm64	1.9.4-1	arm64	ii 
liblzma-dev:arm64	5.4.1-1+deb12u1	arm64	ii 
liblzma5:arm64	5.4.1-1+deb12u1	arm64	ii 
liblzo2-2:arm64	2.10-2	arm64	ii 
libmagic-mgc	1:5.44-3	arm64	ii 
libmagic1:arm64	1:5.44-3	arm64	ii 
libmagickcore-6-arch-config:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickcore-6-headers	8:6.9.11.60+dfsg-1.6+deb12u13	all	ii 
libmagickcore-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickcore-6.q16-6-extra:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickcore-6.q16-dev:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickcore-dev	8:6.9.11.60+dfsg-1.6+deb12u13	all	ii 
libmagickwand-6-headers	8:6.9.11.60+dfsg-1.6+deb12u13	all	ii 
libmagickwand-6.q16-6:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickwand-6.q16-dev:arm64	8:6.9.11.60+dfsg-1.6+deb12u13	arm64	ii 
libmagickwand-dev	8:6.9.11.60+dfsg-1.6+deb12u13	all	ii 
